TestAide Data Save File
Version , 1.0
Function Generator
Version , 3.1
Data Collect Mode Index , 0 
Data Collect Mode , Timed Data
Time Interval Enable , 1 
Cycle Interval Enable , 0 
Data File Header ,  / 2024-12-16 16:01:04
 Time  , DY+ , F2X+ , F2Y+ 
 S  , mm , kN , kN 
0 , -36.82248 , -99.86418 ,-1.9981990299999999
0.005 , -36.82248 , -99.84129 ,-2.02040136
0.01 , -36.82248 , -99.88707 ,-1.9759967
0.015 , -36.81676 , -99.93285 ,-1.9981990299999999
0.02 , -36.82248 , -99.84129 ,-1.9981990299999999
0.025 , -36.82821 , -99.88707 ,-2.02040136
0.03 , -36.82248 , -99.88707 ,-1.9981990299999999
0.035 , -36.82248 , -99.88707 ,-2.02040136
0.04 , -36.82248 , -99.86418 ,-2.06480602
4.499999E-02 , -36.82248 , -99.86418 ,-2.06480602
4.999999E-02 , -36.82821 , -99.88707 ,-2.06480602
5.499999E-02 , -36.81676 , -99.88707 ,-2.06480602
5.999999E-02 , -36.82248 , -99.86418 ,-2.06480602
6.499999E-02 , -36.82248 , -99.88707 ,-2.06480602
6.999999E-02 , -36.81676 , -99.88707 ,-2.06480602
0.075 , -36.81676 , -99.88707 ,-2.0426036899999995
0.08 , -36.82248 , -99.90996 ,-2.10921068
0.085 , -36.82248 , -99.88707 ,-2.10921068
0.09 , -36.82248 , -99.88707 ,-2.08700835
9.500001E-02 , -36.82248 , -99.88707 ,-2.13141204
0.1 , -36.82248 , -99.88707 ,-2.10921068
0.105 , -36.82248 , -99.86418 ,-2.08700835
0.11 , -36.81676 , -99.86418 ,-2.10921068
0.115 , -36.82821 , -99.88707 ,-2.10921068
0.12 , -36.82248 , -99.90996 ,-2.15361437
0.125 , -36.82248 , -99.88707 ,-2.10921068
0.13 , -36.82821 , -99.81841 ,-2.10921068
0.135 , -36.82248 , -99.86418 ,-2.10921068
0.14 , -36.82248 , -99.88707 ,-2.08700835
0.145 , -36.81676 , -99.90996 ,-2.13141204
0.15 , -36.82248 , -99.88707 ,-2.10921068
0.155 , -36.82821 , -99.86418 ,-2.10921068
0.16 , -36.82248 , -99.84129 ,-2.06480602
0.165 , -36.82248 , -99.88707 ,-2.13141204
0.17 , -36.82248 , -99.88707 ,-2.13141204
0.175 , -36.82248 , -99.86418 ,-2.13141204
0.18 , -36.81676 , -99.88707 ,-2.1758167
0.185 , -36.81676 , -99.90996 ,-2.08700835
0.19 , -36.82821 , -99.86418 ,-2.1980190299999998
0.1949999 , -36.82248 , -99.86418 ,-2.15361437
0.1999999 , -36.82248 , -99.86418 ,-2.1758167
0.2049999 , -36.82821 , -99.90996 ,-2.15361437
0.2099999 , -36.82248 , -99.90996 ,-2.15361437
0.2149999 , -36.82248 , -99.88707 ,-2.1980190299999998
0.2199999 , -36.81676 , -99.88707 ,-2.1980190299999998
0.2249999 , -36.81676 , -99.90996 ,-2.1758167
0.2299999 , -36.82248 , -99.84129 ,-2.15361437
0.2349999 , -36.82248 , -99.84129 ,-2.15361437
0.2399999 , -36.82248 , -99.86418 ,-2.15361437
0.2449999 , -36.81676 , -99.90996 ,-2.1980190299999998
0.2499999 , -36.82248 , -99.86418 ,-2.1758167
0.2549999 , -36.82248 , -99.86418 ,-2.22022136
0.2599999 , -36.82248 , -99.90996 ,-2.15361437
0.2649999 , -36.82248 , -99.88707 ,-2.1758167
0.2699999 , -36.82248 , -99.81841 ,-2.15361437
0.2749999 , -36.82248 , -99.90996 ,-2.2424236900000003
0.2799999 , -36.83393 , -99.88707 ,-2.1980190299999998
0.2849999 , -36.82248 , -99.86418 ,-2.2424236900000003
0.2899999 , -36.82821 , -99.86418 ,-2.1758167
0.2949999 , -36.82248 , -99.90996 ,-2.1758167
0.2999999 , -36.82248 , -99.95573 ,-2.1758167
0.3049999 , -36.81676 , -99.90996 ,-2.1980190299999998
0.3099999 , -36.81676 , -99.90996 ,-2.22022136
0.3149998 , -36.82248 , -99.90996 ,-2.1758167
0.3199998 , -36.81676 , -99.88707 ,-2.2646260199999997
0.3249998 , -36.82248 , -99.88707 ,-2.1758167
0.3299998 , -36.82248 , -99.90996 ,-2.22022136
0.3349998 , -36.81676 , -99.90996 ,-2.1980190299999998
0.3399998 , -36.81676 , -99.95573 ,-2.1980190299999998
0.3449998 , -36.81676 , -99.90996 ,-2.2424236900000003
0.3499998 , -36.81676 , -99.88707 ,-2.22022136
0.3549998 , -36.81676 , -99.88707 ,-2.22022136
0.3599998 , -36.81676 , -99.88707 ,-2.2646260199999997
0.3649998 , -36.82248 , -99.88707 ,-2.2646260199999997
0.3699998 , -36.81676 , -99.90996 ,-2.22022136
0.3749998 , -36.81676 , -99.86418 ,-2.22022136
0.3799998 , -36.82248 , -99.86418 ,-2.22022136
0.3849998 , -36.82248 , -99.86418 ,-2.22022136
0.3899998 , -36.82248 , -99.90996 ,-2.2424236900000003
0.3949998 , -36.81676 , -99.88707 ,-2.2646260199999997
0.3999998 , -36.81104 , -99.88707 ,-2.28682835
0.4049998 , -36.82248 , -99.86418 ,-2.1980190299999998
0.4099998 , -36.82248 , -99.86418 ,-2.2646260199999997
0.4149998 , -36.81676 , -99.88707 ,-2.28682835
0.4199997 , -36.82248 , -99.88707 ,-2.2646260199999997
0.4249997 , -36.82248 , -99.88707 ,-2.2646260199999997
0.4299997 , -36.82248 , -99.90996 ,-2.2424236900000003
0.4349997 , -36.81104 , -99.88707 ,-2.2646260199999997
0.4399997 , -36.82248 , -99.90996 ,-2.22022136
0.4449997 , -36.82248 , -99.90996 ,-2.2424236900000003
0.4499997 , -36.82248 , -99.90996 ,-2.3312320399999997
0.4549997 , -36.82248 , -99.88707 ,-2.2646260199999997
0.4599997 , -36.82248 , -99.88707 ,-2.28682835
0.4649997 , -36.82248 , -99.88707 ,-2.2646260199999997
0.4699997 , -36.82248 , -99.84129 ,-2.2646260199999997
0.4749997 , -36.82248 , -99.86418 ,-2.22022136
0.4799997 , -36.81676 , -99.84129 ,-2.2424236900000003
0.4849997 , -36.82248 , -99.88707 ,-2.28682835
0.4899997 , -36.82821 , -99.88707 ,-2.28682835
0.4949997 , -36.82248 , -99.86418 ,-2.3312320399999997
0.4999997 , -36.82248 , -99.86418 ,-2.3312320399999997
0.5049997 , -36.81676 , -99.88707 ,-2.30903068
0.5099997 , -36.82248 , -99.90996 ,-2.30903068
0.5149997 , -36.82248 , -99.88707 ,-2.3312320399999997
0.5199997 , -36.81676 , -99.88707 ,-2.30903068
0.5249997 , -36.82248 , -99.81841 ,-2.30903068
0.5299997 , -36.81676 , -99.90996 ,-2.3312320399999997
0.5349997 , -36.82248 , -99.93285 ,-2.35343437
0.5399997 , -36.82248 , -99.88707 ,-2.3312320399999997
0.5449997 , -36.82248 , -99.90996 ,-2.28682835
0.5499997 , -36.82248 , -99.90996 ,-2.35343437
0.5549996 , -36.82248 , -99.88707 ,-2.30903068
