TestAide Data Save File
Version , 1.0
Function Generator
Version , 3.1
Data Collect Mode Index , 0 
Data Collect Mode , Timed Data
Time Interval Enable , 1 
Cycle Interval Enable , 0 
Data File Header ,  / 2025-04-21 22:02:14
 Time  , DY+ , F2X+ , F2Y+ 
 S  , mm , kN , kN 
0 , -36.51349 , -100.4364 ,-1.8318198255000002
0.005 , -36.51921 , -100.4135 ,-1.7328030930000002
0.01 , -36.51349 , -100.3906 ,-1.7823109185000001
0.015 , -36.51921 , -100.3906 ,-1.807065372
0.02 , -36.51349 , -100.4364 ,-1.8813287324999999
0.025 , -36.51349 , -100.4593 ,-1.6832941860000001
0.03 , -36.51921 , -100.4593 ,-1.633785279
0.035 , -36.52493 , -100.3906 ,-1.7328030930000002
0.04 , -36.51349 , -100.4135 ,-1.807065372
4.499999E-02 , -36.51349 , -100.3906 ,-1.6090308255
4.999999E-02 , -36.51349 , -100.4593 ,-1.7823109185000001
5.499999E-02 , -36.51921 , -100.4135 ,-1.6832941860000001
5.999999E-02 , -36.51349 , -100.3906 ,-1.633785279
6.499999E-02 , -36.51349 , -100.4135 ,-1.7080486395000003
6.999999E-02 , -36.51921 , -100.4135 ,-1.7328030930000002
0.075 , -36.51349 , -100.4364 ,-1.633785279
0.08 , -36.51349 , -100.4364 ,-1.6585397325
0.085 , -36.50777 , -100.4135 ,-1.7823109185000001
0.09 , -36.52493 , -100.4364 ,-1.633785279
9.500001E-02 , -36.52493 , -100.4364 ,-1.8318198255000002
0.1 , -36.50777 , -100.4135 ,-1.633785279
0.105 , -36.50777 , -100.4364 ,-1.7080486395000003
0.11 , -36.51349 , -100.4135 ,-1.8318198255000002
0.115 , -36.51349 , -100.4364 ,-1.7328030930000002
0.12 , -36.51349 , -100.4364 ,-1.6090308255
0.125 , -36.51349 , -100.4135 ,-1.7328030930000002
0.13 , -36.51349 , -100.4135 ,-1.7575575465000002
0.135 , -36.51349 , -100.4593 ,-1.5842763720000002
0.14 , -36.51921 , -100.4364 ,-1.5595219185000002
0.145 , -36.51349 , -100.4593 ,-1.5842763720000002
0.15 , -36.51349 , -100.4364 ,-1.7080486395000003
0.155 , -36.51349 , -100.4364 ,-1.633785279
0.16 , -36.50777 , -100.4364 ,-1.5595219185000002
0.165 , -36.51921 , -100.4593 ,-1.6090308255
0.17 , -36.51921 , -100.4135 ,-1.5842763720000002
0.175 , -36.51349 , -100.4593 ,-1.6585397325
0.18 , -36.50777 , -100.4593 ,-1.7575575465000002
0.185 , -36.51921 , -100.4364 ,-1.7080486395000003
0.19 , -36.51349 , -100.4593 ,-1.7328030930000002
0.1949999 , -36.50777 , -100.4364 ,-1.9555920930000001
0.1999999 , -36.51349 , -100.4364 ,-1.7823109185000001
0.2049999 , -36.51349 , -100.4135 ,-1.7328030930000002
0.2099999 , -36.51349 , -100.4135 ,-1.7823109185000001
0.2149999 , -36.51349 , -100.4822 ,-1.807065372
0.2199999 , -36.51349 , -100.4135 ,-1.8318198255000002
0.2249999 , -36.51921 , -100.4364 ,-1.6832941860000001
0.2299999 , -36.51349 , -100.4364 ,-1.7328030930000002
0.2349999 , -36.51921 , -100.4135 ,-1.7328030930000002
0.2399999 , -36.51349 , -100.5051 ,-1.7080486395000003
0.2449999 , -36.51349 , -100.4364 ,-1.7823109185000001
0.2499999 , -36.50777 , -100.4135 ,-1.7575575465000002
0.2549999 , -36.51349 , -100.4593 ,-1.7328030930000002
0.2599999 , -36.51349 , -100.4135 ,-1.8318198255000002
0.2649999 , -36.50204 , -100.4364 ,-1.807065372
0.2699999 , -36.51349 , -100.4135 ,-1.807065372
