TestAide Data Save File
Version , 1.0
Function Generator
Version , 3.1
Data Collect Mode Index , 0 
Data Collect Mode , Timed Data
Time Interval Enable , 1 
Cycle Interval Enable , 0 
Data File Header ,  / 2024-11-19 21:07:48
 Time  , D2Y+ , D2Y- , F2X+ , F2Y+ 
 S  , mm , mm , kN , kN 
 0 ,  4.44998 ,  4.579302 , -100.0473 , -1.739555  
 0.005 ,  4.449217 ,  4.580065 , -100.0244 , -1.808222  
 0.01 ,  4.450361 ,  4.579683 , -100.0244 , -1.785333  
 0.015 ,  4.44998 ,  4.580065 , -99.97862 , -1.785333  
 0.02 ,  4.450743 ,  4.579302 , -99.97862 , -1.785333  
 0.025 ,  4.44998 ,  4.580446 , -100.0244 , -1.808222  
 0.03 ,  4.44998 ,  4.579683 , -100.0015 , -1.785333  
 0.035 ,  4.450361 ,  4.580446 , -100.0244 , -1.785333  
 0.04 ,  4.449217 ,  4.579302 , -100.0244 , -1.762444  
 4.499999E-02 ,  4.450361 ,  4.580828 , -100.0473 , -1.83111  
 4.999999E-02 ,  4.44998 ,  4.579302 , -100.0473 , -1.83111  
 5.499999E-02 ,  4.450361 ,  4.580065 , -100.0015 , -1.808222  
 5.999999E-02 ,  4.450361 ,  4.579683 , -100.0244 , -1.785333  
 6.499999E-02 ,  4.449598 ,  4.580446 , -100.0244 , -1.83111  
 6.999999E-02 ,  4.450361 ,  4.579683 , -100.0015 , -1.785333  
 0.075 ,  4.450361 ,  4.581209 , -100.0015 , -1.853999  
 0.08 ,  4.450361 ,  4.579683 , -100.0244 , -1.83111  
 0.085 ,  4.44998 ,  4.580446 , -100.0015 , -1.83111  
 0.09 ,  4.449598 ,  4.579683 , -100.0473 , -1.876888  
 9.500001E-02 ,  4.450361 ,  4.579683 , -100.0244 , -1.83111  
 0.1 ,  4.44998 ,  4.579683 , -100.0244 , -1.853999  
 0.105 ,  4.450361 ,  4.580446 , -100.0244 , -1.83111  
 0.11 ,  4.449598 ,  4.579683 , -100.0015 , -1.899777  
 0.115 ,  4.44998 ,  4.579683 , -100.0015 , -1.876888  
 0.12 ,  4.44998 ,  4.580446 , -100.0244 , -1.876888  
 0.125 ,  4.449217 ,  4.579683 , -100.0015 , -1.876888  
 0.13 ,  4.449598 ,  4.580065 , -100.0015 , -1.853999  
 0.135 ,  4.449217 ,  4.579683 , -100.0015 , -1.876888  
 0.14 ,  4.44998 ,  4.580065 , -100.0702 , -1.876888  
 0.145 ,  4.44998 ,  4.579683 , -100.0015 , -1.922666  
 0.15 ,  4.449217 ,  4.580446 , -100.0244 , -1.922666  
 0.155 ,  4.44998 ,  4.579683 , -99.97862 , -1.899777  
 0.16 ,  4.448454 ,  4.580065 , -100.0244 , -1.922666  
 0.165 ,  4.44998 ,  4.580065 , -100.0244 , -1.853999  
 0.17 ,  4.449598 ,  4.581209 , -100.0244 , -1.899777  
 0.175 ,  4.449598 ,  4.57892 , -99.95573 , -1.899777  
 0.18 ,  4.44998 ,  4.580446 , -100.0015 , -1.899777  
 0.185 ,  4.448835 ,  4.579302 , -100.0702 , -1.945555  
 0.19 ,  4.44998 ,  4.580446 , -100.0015 , -1.899777  
 0.1949999 ,  4.449217 ,  4.579302 , -100.0702 , -1.899777  
 0.1999999 ,  4.44998 ,  4.580446 , -100.0015 , -1.899777  
 0.2049999 ,  4.449598 ,  4.579302 , -99.97862 , -1.922666  
 0.2099999 ,  4.449217 ,  4.580446 , -100.0015 , -1.922666  
 0.2149999 ,  4.449598 ,  4.579683 , -99.97862 , -1.922666  
