TestAide Data Save File
Version , 1.0
Function Generator
Version , 3.1
Data Collect Mode Index , 0 
Data Collect Mode , Timed Data
Time Interval Enable , 1 
Cycle Interval Enable , 0 
Data File Header ,  / 2024-11-16 21:54:13
Time  , D2Y+ , D2Y- , F2X+ , F2Y+
S  , mm , mm , kN , kN
0 ,  4.582736 ,  4.21308 , -100.0015 , -1.236
0.005 ,  4.582736 ,  4.213461 , -100.0473 , -1.281777
0.01 ,  4.582354 ,  4.213461 , -100.0244 , -1.304666
0.015 ,  4.582736 ,  4.211936 , -99.97862 , -1.304666
0.02 ,  4.582354 ,  4.21308 , -99.97862 , -1.258888
0.025 ,  4.582354 ,  4.213461 , -100.0244 , -1.281777
0.03 ,  4.582736 ,  4.213461 , -100.0015 , -1.236
0.035 ,  4.582354 ,  4.212698 , -100.0244 , -1.258888
0.04 ,  4.582736 ,  4.213461 , -100.0015 , -1.258888
4.499999E-02 ,  4.581973 ,  4.212698 , -100.0244 , -1.281777
4.999999E-02 ,  4.582736 ,  4.213461 , -100.0473 , -1.304666
5.499999E-02 ,  4.581973 ,  4.212698 , -100.0244 , -1.281777
5.999999E-02 ,  4.581973 ,  4.213461 , -100.0473 , -1.281777
6.499999E-02 ,  4.582736 ,  4.212698 , -100.0244 , -1.304666
6.999999E-02 ,  4.581973 ,  4.21308 , -100.0015 , -1.281777
0.075 ,  4.582736 ,  4.21308 , -100.0244 , -1.281777
0.08 ,  4.581973 ,  4.213843 , -100.0473 , -1.304666
0.085 ,  4.581973 ,  4.212698 , -100.0244 , -1.236
0.09 ,  4.582354 ,  4.21308 , -100.0473 , -1.350444
9.500001E-02 ,  4.581973 ,  4.212698 , -100.0473 , -1.327555
0.1 ,  4.581973 ,  4.21308 , -99.97862 , -1.304666
0.105 ,  4.582354 ,  4.212317 , -100.0015 , -1.281777
0.11 ,  4.581973 ,  4.21308 , -100.0244 , -1.327555
0.115 ,  4.582736 ,  4.212698 , -100.0244 , -1.350444
0.12 ,  4.582354 ,  4.213461 , -100.0015 , -1.350444
0.125 ,  4.582736 ,  4.213461 , -100.0244 , -1.350444
0.13 ,  4.582354 ,  4.21308 , -100.0244 , -1.350444
0.135 ,  4.581973 ,  4.212698 , -100.0244 , -1.350444
0.14 ,  4.583117 ,  4.212698 , -100.0015 , -1.373333
0.145 ,  4.582354 ,  4.21308 , -100.0015 , -1.373333
0.15 ,  4.582354 ,  4.212698 , -100.0244 , -1.396222
0.155 ,  4.583117 ,  4.212317 , -100.0244 , -1.373333
0.16 ,  4.582354 ,  4.212698 , -100.0702 , -1.396222
0.165 ,  4.582736 ,  4.212317 , -99.97862 , -1.419111
0.17 ,  4.581591 ,  4.213461 , -100.0015 , -1.441999
0.175 ,  4.581973 ,  4.213461 , -100.0473 , -1.396222
0.18 ,  4.581973 ,  4.21308 , -100.0702 , -1.396222
0.185 ,  4.582354 ,  4.211936 , -100.0473 , -1.396222
0.19 ,  4.582354 ,  4.212698 , -100.0702 , -1.419111
0.1949999 ,  4.581973 ,  4.213843 , -100.0015 , -1.396222
0.1999999 ,  4.581591 ,  4.21308 , -100.0244 , -1.396222
0.2049999 ,  4.582736 ,  4.212698 , -100.0244 , -1.441999
0.2099999 ,  4.581591 ,  4.212698 , -100.0244 , -1.441999
0.2149999 ,  4.581973 ,  4.213461 , -100.0473 , -1.487777
0.2199999 ,  4.582354 ,  4.21308 , -100.0244 , -1.441999
0.2249999 ,  4.581973 ,  4.212698 , -99.97862 , -1.487777
0.2299999 ,  4.581973 ,  4.212317 , -100.0473 , -1.464888
0.2349999 ,  4.580828 ,  4.212698 , -100.0244 , -1.464888
0.2399999 ,  4.581973 ,  4.212317 , -100.0244 , -1.487777
0.2449999 ,  4.581591 ,  4.212698 , -100.0702 , -1.487777
0.2499999 ,  4.581591 ,  4.212698 , -100.0244 , -1.464888
0.2549999 ,  4.582354 ,  4.212698 , -100.0244 , -1.487777
0.2599999 ,  4.581209 ,  4.212317 , -100.0015 , -1.556444
0.2649999 ,  4.581973 ,  4.21308 , -100.0015 , -1.533555
0.2699999 ,  4.581209 ,  4.213461 , -100.0244 , -1.510666
0.2749999 ,  4.580828 ,  4.21308 , -100.0244 , -1.533555
