TestAide Data Save File
Version , 1.0
Function Generator
Version , 3.1
Data Collect Mode Index , 0 
Data Collect Mode , Timed Data
Time Interval Enable , 1 
Cycle Interval Enable , 0 
Data File Header ,  / 2024-11-06 16:14:05
 Time  , D2Y+ , D2Y- , F2X+ , F2Y+ 
 S  , mm , mm , kN , kN 
 0 ,  4.356135 ,  4.373302 , -100.0015 , -1.098666  
 0.005 ,  4.356135 ,  4.372158 , -100.0015 , -1.144444  
 0.01 ,  4.355372 ,  4.372921 , -99.97862 , -1.098666  
 0.015 ,  4.356135 ,  4.372539 , -100.0244 , -1.098666  
 0.02 ,  4.356135 ,  4.372921 , -100.0015 , -1.167333  
 0.025 ,  4.356135 ,  4.371776 , -100.0015 , -1.144444  
 0.03 ,  4.356517 ,  4.372921 , -99.95573 , -1.144444  
 0.035 ,  4.355754 ,  4.372158 , -100.0244 , -1.144444  
 0.04 ,  4.356135 ,  4.372921 , -100.0015 , -1.144444  
 4.499999E-02 ,  4.354991 ,  4.372158 , -99.97862 , -1.121555  
 4.999999E-02 ,  4.356135 ,  4.372921 , -100.0015 , -1.144444  
 5.499999E-02 ,  4.356517 ,  4.372921 , -100.0015 , -1.144444  
 5.999999E-02 ,  4.356135 ,  4.372539 , -99.97862 , -1.144444  
 6.499999E-02 ,  4.356135 ,  4.372921 , -100.0015 , -1.121555  
 6.999999E-02 ,  4.356135 ,  4.372539 , -99.97862 , -1.144444  
 0.075 ,  4.356517 ,  4.372921 , -100.0015 , -1.121555  
 0.08 ,  4.356135 ,  4.372921 , -100.0015 , -1.144444  
 0.085 ,  4.356135 ,  4.372539 , -100.0015 , -1.144444  
 0.09 ,  4.356135 ,  4.372539 , -99.95573 , -1.167333  
 9.500001E-02 ,  4.356135 ,  4.372921 , -100.0015 , -1.190222  
 0.1 ,  4.356135 ,  4.372158 , -100.0015 , -1.144444  
 0.105 ,  4.356135 ,  4.372921 , -99.97862 , -1.144444  
 0.11 ,  4.356135 ,  4.372158 , -100.0015 , -1.121555  
 0.115 ,  4.356517 ,  4.373683 , -99.95573 , -1.144444  
 0.12 ,  4.356135 ,  4.371776 , -100.0015 , -1.075777  
 0.125 ,  4.356135 ,  4.372921 , -99.97862 , -1.167333  
 0.13 ,  4.355372 ,  4.372158 , -99.97862 , -1.144444  
 0.135 ,  4.356135 ,  4.372921 , -100.0015 , -1.167333  
 0.14 ,  4.356135 ,  4.372539 , -100.0015 , -1.121555  
